STT,Tiếng Anh (English),Giải nghĩa tiếng Anh (English Definition),Tiếng Việt (Vietnamese),Giải nghĩa tiếng Việt (Vietnamese Definition),Phân tích thuật ngữ (Term Analysis),Hình minh họa trong tài liệu (Illustration in Source),Link hình tham khảo (Reference Image Link),Chương (Chapter),Chỉ mục/Trang (Index/Page),Phiên âm (IPA),Category,Type,Rarity
285,Denture base,Part of denture contacting oral mucosa and supporting teeth,Nền hàm giả,Phần hàm tiếp xúc niêm mạc và nâng đỡ răng giả,Denture + base,N/A,https://www.pinterest.com/search/pins/?q=Denture%20base,Prosthodontics – Removable,N/A,ˈdɛntʃər beɪs,Material,Term,Common
286,Denture flange,Vertical extension of denture base into vestibule,Viền nền hàm,Phần nền hàm kéo dài lên tiền đình miệng,Denture + flange (gờ),N/A,https://www.pinterest.com/search/pins/?q=Denture%20flange,Prosthodontics – Removable,N/A,ˈdɛntʃər flændʒ,Material,Term,Common
287,Denture stomatitis,Inflammation of mucosa under a denture,Viêm niêm mạc do hàm giả,Viêm niêm mạc dưới nền hàm giả,Denture + stomatitis (viêm miệng),N/A,https://www.pinterest.com/search/pins/?q=Denture%20stomatitis,Prosthodontics – Removable,N/A,ˈdɛntʃər ˌstoʊməˈtaɪtɪs,Material,Term,Common
288,Flabby ridge,Mobile fibrous alveolar ridge tissue,Sống hàm di động (mềm),"Mô sống hàm xơ mềm, di động",Flabby (mềm nhũn) + ridge (sống),N/A,https://www.pinterest.com/search/pins/?q=Flabby%20ridge,Prosthodontics – Removable,N/A,ˈflæbi rɪdʒ,Biological,Term,Common
289,Kennedy Class I,Bilateral edentulous areas posterior to remaining teeth,Phân loại Kennedy loại I,Mất răng hai phía sau răng còn lại,Classification by Kennedy,N/A,https://www.pinterest.com/search/pins/?q=Kennedy%20Class%20I,Prosthodontics – Removable,N/A,ˈkɛnədi klæs wʌn,Identifier,Eponym,Common
290,Kennedy Class II,Unilateral edentulous area posterior to remaining teeth,Phân loại Kennedy loại II,Mất răng một phía sau răng còn lại,Classification by Kennedy,N/A,https://www.pinterest.com/search/pins/?q=Kennedy%20Class%20II,Prosthodontics – Removable,N/A,ˈkɛnədi klæs tuː,Identifier,Eponym,Common
291,Kennedy Class III,Unilateral edentulous area with teeth remaining both sides,Phân loại Kennedy loại III,Mất răng một phía kèm răng còn lại hai bên,Classification by Kennedy,N/A,https://www.pinterest.com/search/pins/?q=Kennedy%20Class%20III,Prosthodontics – Removable,N/A,ˈkɛnədi klæs θriː,Identifier,Eponym,Common
292,Kennedy Class IV,Single edentulous area crossing the midline anteriorly,Phân loại Kennedy loại IV,Mất răng vùng trước qua đường giữa,Classification by Kennedy,N/A,https://www.pinterest.com/search/pins/?q=Kennedy%20Class%20IV,Prosthodontics – Removable,N/A,ˈkɛnədi klæs fɔːr,Identifier,Eponym,Common
293,Surveyor,Device to determine path of insertion and undercuts on cast,Máy khảo sát (surveyor),Thiết bị xác định đường tháo lắp và undercut trên mẫu,Survey (khảo sát) + -or,N/A,https://www.pinterest.com/search/pins/?q=Surveyor,Prosthodontics – Removable,N/A,sərˈveɪər,Material,Term,Common
294,Survey line,Height of contour line on a tooth mapped by surveyor,Đường khảo sát,Đường đường kính lớn nhất được vẽ trên răng,Survey + line,N/A,https://www.pinterest.com/search/pins/?q=Survey%20line,Prosthodontics – Removable,N/A,sərˈveɪ laɪn,Morphological,Term,Common
295,Undercut (prosthodontic),Area below height of contour used for clasping,Vùng undercut,Vùng nằm dưới đường kính lớn nhất dùng cho móc giữ,Under (dưới) + cut (cắt),N/A,https://www.pinterest.com/search/pins/?q=Undercut%20%28prosthodontic%29,Prosthodontics – Removable,N/A,ˈʌndərkʌt,Morphological,Term,Common
296,Tripodization (cast),Marking three widely separated points to reorient cast,Đánh dấu ba điểm tham chiếu,Đánh dấu ba điểm xa nhau để định vị lại mẫu,Tri (ba) + pod (chân) + -ization,N/A,https://www.pinterest.com/search/pins/?q=Tripodization%20%28cast%29,Prosthodontics – Removable,N/A,traɪˌpɒdaɪˈzeɪʃən,Material,Term,Common
297,Occlusal plane (denture),Plane established by wax rims for denture teeth arrangement,Mặt phẳng cắn (hàm giả),Mặt phẳng được xác lập bằng vành sáp để sắp răng,Occlusal + plane,N/A,https://www.pinterest.com/search/pins/?q=Occlusal%20plane%20%28denture%29,Prosthodontics – Removable,N/A,əˈkluːzəl pleɪn,Material,Term,Common
298,Fox plane guide,Instrument to align occlusal plane with facial references,Thước Fox (định hướng mặt phẳng cắn),Dụng cụ căn mặt phẳng cắn theo mốc ngoài mặt,Fox (tên riêng) + plane guide,N/A,https://www.pinterest.com/search/pins/?q=Fox%20plane%20guide,Prosthodontics – Removable,N/A,fɒks pleɪn ɡaɪd,Identifier,Eponym,Common
299,Camper’s plane,Plane from ala of nose to tragus used as reference,Mặt phẳng Camper,Mặt phẳng từ cánh mũi đến tai dùng làm mốc,Eponym Camper + plane,N/A,https://www.pinterest.com/search/pins/?q=Camper%E2%80%99s%20plane,Prosthodontics – Removable,N/A,ˈkæmpərz pleɪn,Identifier,Eponym,Common
300,Curve of Spee,Anteroposterior curvature of occlusal surfaces,Đường cong Spee,Đường cong trước sau của mặt nhai,Eponym Spee + curve,N/A,https://www.pinterest.com/search/pins/?q=Curve%20of%20Spee,Prosthodontics – Occlusion,N/A,kɜːrv əv spiː,Identifier,Eponym,Common
